FunctionalArea,StrategicPriorities,Programs,UseCase,CurrentSituation,GoalsandObjectives ,TechnologyDeployed,UseCaseSummary
Human Resources (HR),Strategically-Aligned Workforce,Optimize HR Operations,HR Service Delivery,HR have been historically pressured into increasing operational efficiency at the expense deep domain knowledge and loss of strategic relevance. This cause a downward spiral of value delivered from the HR organization.,"To operate more strategically, HR organizations re-design HR service delivery. The approach is typically a ""three legged stool"" of HR business partners, HR centers of expertise and shared HR services. This allows for intimacy with the business issues, expertise in complicated areas and service efficiency, in the right proportions. ","This use case is supported by integrated suites of HR solutions, often running in the cloud or ""as a service"", analytic tools, call center software, advanced forecasting capabilities, services from IT consultants, system integrators, HR specialists,business consultants,even HR process outsourcer.",An HR organization functionally aligned with organizational requirements and structured to provide both efficiency and strategic value can better help the enterprise meet its strategic objectives.
Human Resources (HR),Strategically-Aligned Workforce,Optimize HR Operations,Data-driven operations,"All talent and workforce processes are limited to basic throughput measures because of siloed functional tools. Analysis relies on anecdotal information, or manual reconciliation, solutions. ","The adoption and deployment of analytics can better monitor performance at every point in the workforce process, may include applicant fit and engagement, development progress, team effectiveness, impact of rewards, recognition and wellness programs; and operational metrics to support end-to-end analysis of workforce processes. ","This use case is supported by analytics,machine learning capabilities across the HR software stack,intelligent systems of record like HCM,financial management. IT consulting, system integration, business consulting services are also required.","Workforce processes with more modern measures of success and a holistic, cross function view, will be able to link talent acquisition initiatives with strategic organizational objectives, more rapidly adjust development activities, more effectively assign staff to initiatives and have a more engaged and productive workforce."
Legal & Corporate Strategy,Growing and Protecting the Digital Organization,Investigations ,Intelligent ECA & Dynamic Review,"Today, ediscovery functions are enhanced by machine learning, detailed analytics, and visualization of data.","Cull, process, review, and sometimes produce documentation related to investigations, litigation, and FOIA requests.","Natural Language Processing, Optical Character Recognition, Machine Learning operating in the cloud or on premise. ",The analytics deployed allows more efficient and less costly view of the data corpus for a given investigation. Machine learning provides for assisted/expedited review of the legal relevance of data.
Legal & Corporate Strategy,Growing and Protecting the Digital Organization,Investigations ,Automated Ethics Review and Visualization,"Today, most ethics review is enhanced by detailed analytics and visualization of data.","Analyze available business owned voice, text, and data to pattern relationships to create alerts for inappropriate interactions or behavior.","Voice, text, audio messages infused into a machine learning program.","The analytics deployed allows legal departments to proactively visualize, predict, and monitor employee behavior."
Legal & Corporate Strategy,Growing and Protecting the Digital Organization,Investigations ,Data Driven Deals ,"Currently, due diligence leverages available analytics and visualization tools.",Utilize and condense available 3rd party data to validate/bolster M&A processes. ,"Machine learning, Natural Language Processing, Analytics",Analytics and visualization tools allow CLO's to better assess data of potential acquisitions and reduce time needed to assess the risk of a particular acquisition.
Legal & Corporate Strategy,Growing and Protecting the Digital Organization,Policy Administration,Information Lifecycle Automation and Self-Service,"Currently, corporate information including sensitive HR information is governed by document retention policies and is stored manually.","Create automated discovery, classification, and defensible deletion policies of corporate data. Allow customer/employee self-service in deletion/creation of sensitive data and PII.","Data mapping inlaid with machine learning, data classification systems, workflow management systems.",The technology deployed allows automated deletion of routine data. Customers and employees can manage their sensitive information themselves. CLO's leverage the strength of the adopted technology in litigation defense related to data curation and responsibility.
Legal & Corporate Strategy,Growing and Protecting the Digital Organization,Policy Administration,Robotic Policy Creation,"Currently, most CLO's manage and manually review all of a corporation's policies as needed or rely on lines-of- business to steward policies.",Automate the creation of corporate policies and create more detailed and relevant policies based on the best available data. ,Legacy data fed into a machine learning platform with an automation platform backend. ,A digitally transformed policy creation program uses machine learning to analyze previous policies and adjust them automatically based on business process change. 
Legal & Corporate Strategy,Growing and Protecting the Digital Organization,Policy Administration,Automated Policy Enforcement,"Currently, most policies are enforced manually when a violation is reported via governance or risk management platforms Policies can currently be violated, without response.","Automate end user adherence to corporate rules, best practices, and policies. ","Natural Language Processing, Machine Learning, IT Administration/access controls, Cybersecurity controls",The policy enforcement program is automated so that end users cannot break corporate policies even if they wanted to do so. Software locks out prohibited actions or evaluates behaviors to escalate suspicious activity 
Legal & Corporate Strategy,Growing and Protecting the Digital Organization,Risk Management,Continuous Contract Defensibility,"Currently, businesses are rolling out first generation AI contract management software.","Improve defensibility, leveraging existing contracts, and expedite and automate contract creation and storage.  ","Natural Language Processing, Machine Learning, Workflow management software",Digitally transformed contract management uses ML/CAL to analyze existing contracts and leverage them to automate the creation and storage of new contracts.
Legal & Corporate Strategy,Growing and Protecting the Digital Organization,Risk Management,Automated IP Misuse Detection and Remediation,"Currently, businesses are deploying digital rights management technology to monitor unauthorized use of IP.","Protect the trade secrets, trademarks, and all other IP from misappropriation. ","Digital Rights Management, Machine Learning, Natural Language Processing, Search,Discovery","A digitally transformed IP protection scheme is highly automated, exploring countless public data sources and utilizing ML to find and remediate violations."
Legal & Corporate Strategy,Growing and Protecting the Digital Organization,Risk Management,Investment Risk Analysis,"Currently, businesses manually pore over financial statements and SEC filings of potential investments.",Limit the risk of potential and actual investments by detailed analysis of available data. ,"Machine Learning, Analytics, Optical character recognition, audit management software",A digitally transformed risk analysis program automates the analysis of complicated financial documents and risk scoring of investments.
Legal & Corporate Strategy,Growing and Protecting the Digital Organization,Expertise Graphing,Board Reporting Automation & Management,"Currently, businesses manually compile financial, ethics, compliance, and other reports for reporting to the C level. ",Automate the generation and dissemination of required reports to the board.,"Machine learning, analytics, data classification systems, workflow management systems.",The compiling and dissemination of routine board reports is automated through ML/CAL assisted workflow mechanisms
Legal & Corporate Strategy,Growing and Protecting the Digital Organization,Expertise Graphing,Influencer Discovery,"Currently, businesses either manually catalog metrics to assess internal high performers and influencers or have no mechanism for identification.","Identify, nurture, and retain high value employees to improve business processes","Machine learning, data classification systems, analytics, workflow management systems.",Digitally transformed influencer discovery utilizes technology to automatically analyze business metrics tied to personnel to locate influencers and valuable employees. 
Legal & Corporate Strategy,Growing and Protecting the Digital Organization,Corporate Strategy,Business Development,"Currently, sales leads are managed by complicated workflow systems that must be manually logged with sales lead data. ",Create additional revenue streams by upselling to current customers and closing new clients,"Legacy data feed into analytics,machine learning systems. ",Analytics and legacy data are used to find patterns in spending behavior and inform business development strategy based on interactions. 
Legal & Corporate Strategy,Growing and Protecting the Digital Organization,Corporate Strategy,Data-Driven Strategic Assessment,"Currently, businesses manually evaluate relevant metrics to drive business strategy.",Assess strategic options and optimize selection of the best course of action.,Data mapping coupled with machine learning capabilities to manage business data.,The process of determining the best course of action is automated. ML analyzes potential options and outcomes and selects one. 
Legal & Corporate Strategy,Growing and Protecting the Digital Organization,Corporate Strategy,Mechanized Brand Protection,"Currently, businesses must monitor employee's and 3rd Party's behavior to the best of their ability",Protect the reputation of the brand by limiting risk caused by employees and 3rd parties.,"Machine learning, data mapping, analytics ",Available business data and analytics are used to identify and correct behaviors that put reputation at risk.
Procurement,Digitizing Procurement & Partnerships,Intelligent Sourcing,Kraljic Digital Twin,"The current purchasing portfolio of a company is managed subjectively using a combination of information extracted from the finance, procurement and ERP systems.  Spend analysis or similar data extraction tools are used to see the data in categories and supplier detail.  Missing details of the items or services being sourced, their risk to source and their financial impact have been calculated manually.","Real time automated information on purchased items/services as it relates to the strategic importance of the items/services; their added value to the enterprise and final customer delivered products/services; and the effect their costs have on the organization's profitability.  In addition, this real time financial impact is measured against the complexity and risk of the supply from scarcity to abundance; the required materials/services or applicable substitutions;  logistics and external market risk aspects; and monopoly and oligopoly conditions that might exist.  ","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Next Generation Security, IoT, ARVR, 3D Printing, Robotics, Drones","The Kraljic Digital Twin brings together the virtual and physical world  to automate the financial impact and sourcing risk/complexity of each purchased item and service within the purchasing portfolio.  The Kraljic Digital Twin aids in modeling, predicting and optimization of purchased items/services.  "
Procurement,Digitizing Procurement & Partnerships,Intelligent Sourcing,Fully Automated Sourcing ,"Organizations utilize a combination of technology applications such as spend analysis, sourcing, and contract management or some combination of similar applications and manual processes to complete the source to supplier enablement activities.    ","Fully automated sourcing includes automated and real time supplier identification/selection to compete for sourcing activities, source selection, award, contract and supplier automation.  ","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Next Generation Security","Fully automated sourcing enables real time and complete sourcing plans, recommendations and awards, through to contract completion and supplier enablement."
Procurement,Digitizing Procurement & Partnerships,Intelligent Sourcing,Intelligent Market Analysis,"The market analysis process that enables procurement to understand how the supply market works, the direction in which the market is going, the competitiveness and the key suppliers within the market is a manually intensive process.  Manually, market analysis is labor intensive, using descriptive analytics and historical data with little predictability, and leaves cost optimization and partnership opportunities behind.  ","Making the market analysis process more intelligent enables the technologies to identify the markets, helps technologies learn to identify the market factors and data insights and brings forward information that can then be modeled in many aspects to help set the right procurement strategy for categories, commodities and items and services.","Enterprise Hardware, Personal devices, Cloud, Big data, predictive/prescriptive analytics, Mobile, Applications, Connectivity Services, Cognitive, Next Generation Security, IoT","Intelligent data mining processes sweep internal and external data sources to identify dimensions and factors enabling better market strategies and more informed sourcing related decision making supported by data.  Modeling of current conditions, what if scenario planning and forecasting can help identify the issues that may arise allowing the right supplier to be selected and the right contract to be executed.  "
Procurement,Digitizing Procurement & Partnerships,Intelligent Sourcing,Capabilities Sourcing for Procurement ,"Procurement sources items from suppliers who are within a category or commodity, identified by their spend analysis tool, sourcing tool or another means.  Capabilities by supplier is a manual process of gathering data from supply base engineers, supplier audits and supplier meetings.  This takes many employees and employee hours to gather, synthesize and utilize the data for further discussions and decisions.","By automating the data and information to real time for every supplier's capabilities, the sourcing team can make immediate and real time selections for RFIs, Purchases and Contracts.  ","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Next Generation Security, IoT","Organizations can now buy capacity, materials and immediate time within supplier sites to manufacturer required purchase parts because they know the supplier capabilities in real time. 
"
Procurement,Digitizing Procurement & Partnerships,Intelligent Sourcing,Real Time Supplier ID and Rationalization,"Currently suppliers are identified by a supplier number, category, performance or other facets.  Many supply bases are extremely large as no rationalization of the supply base has taken place.  Too many suppliers is too cumbersome for procurement and supply base managers to manage leading to extra management costs, missed leveraging opportunities for better pricing with suppliers and innovation possibilities.  ",Too much time is spent trying to right size the supply base but also making sure new suppliers are considered for future business.  This automates the rationalization process as well as identifies in real time the suppliers within given categories and commodities.,"Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Next Generation Security, IoT","Automates the supplier rationalization process from supplier item and service type to commodity to category.  It ties directly into the supplier lifecycle process, helping to manage the supply base."
Procurement,Digitizing Procurement & Partnerships,Intelligent Sourcing,Augmented Complex Category Sourcing,"Complex categories from services to transportation to project based sourcing is very manual and data intensive and can take hours to build templates, RFX and contracts.  ","Augmented complex sourcing includes automated and real time supplier identification/selection to compete for complex category sourcing activities, source selection,  and augmented award and contracts by employees.","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Next Generation Security",Augmented complex category sourcing enables real time and complete complex category sourcing plans a and recommendations.  Awards and contract completion are augmented with employee involvement to complete the sourcing event.
Procurement,Digitizing Procurement & Partnerships,Intelligent Sourcing,Real time integrated Capacity & Inventory Alignment ,"Buyers do not have visibility into purchase part capacity and inventory levels.  This necessitates into many phone calls, emails and meetings to not only find out the information but to plan, schedule, contract and then expedite for the purchase part.",Real time capacity and inventory information enables immediate purchase opportunities while also delaying other purchases.  ,"Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, RPA, Next Generation Security","Continuous real time dashboards of capacity and inventory balances provides the buyer planner a dynamic view of balance, allowing the right purchase or expediting to happen as needed.
"
Procurement,Digitizing Procurement & Partnerships,Intelligent Sourcing,Ethical & Sustainable Sourcing ,"Currently procurement purchases items as needed from the suppliers identified.  In many cases the suppliers are not monitored for their ethical or sustainable sourcing activities.  In other cases they are monitored by there is too much data to sift through manually to determine supplier compliance.  This can harm a brands reputation purchases from wrong suppliers and also cause issues within the supply chain, value chain and customer.","By automating the ethical and sustainable sourcing activities organizations improve compliance to Corporate Social Responsibility programs including supplier ethical practices, child labor, conflict minerals and diversity requirements.  
","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Next Generation Security","Integration of compliance aspects  and automating the ethical and sustainable sourcing activities improves visibility and knowledge of a supplier's workplace principles and supplier's compliance.  It allows for real time review of the supply base to the requirements, enabling identification of issues before they arise. 
"
Procurement,Digitizing Procurement & Partnerships,Generative Supplier Relationship Management,Intelligent Scheduling,"Procurement groups build broad based purchase order and contracts with multiple line items identifying fictitious points in time in the future when an item is needed, just to make sure a supplier has the forecast of possible needs.  This leads to extra investment by the supplier, makes the buyer accountable for goods that may or may not be needed and can increase inventory if not monitored at all times.  Monitoring it is typically a manual process.  ","Intelligent scheduling of parts and services eliminates fictitious forecasts, scheduling errors and needless expediting. ","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Next Generation Security","Scheduling of parts, services, and other needs based on requirements within the company is automated intelligently to schedule when needed only, enabling more accurate purchase orders and contracts and improving inventory levels"
Procurement,Digitizing Procurement & Partnerships,Generative Supplier Relationship Management,Continuous Business Review,"Procurement and other enterprise team members currently conduct quarterly business reviews with preferred and standard suppliers only.  This information is a historical roll up of data from various systems, manual and meeting intensive, and very time consuming.","Continuous Business Review is a real time review of the supplier's business, performance and projection of expectations based on future business needs.","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Next Generation Security","There is a feedback collection from employees (SCORE) , digital event management,  scorecards and performance  monitored on a continuous basis in real time.  
The real time and continuous basis of these workflows enables procurement and the suppliers to know first hand and at all times their performance levels."
Procurement,Digitizing Procurement & Partnerships,Generative Supplier Relationship Management,"Comprehensive Tier N Visibility, Monitor & Remedy","Procurement and supply chain teams are only able to see one level within the supply base.  This limited view allows issues with supplier's suppliers and beyond to escape unnoticed or not come up until it is too late causing late deliveries, customer issues and massive resourcing efforts by procurement.  ","Tier N visibility is active allowing purchase part supply chain issues to be viewed, monitored and remedied by not only the supply but also the ultimate buyer/customer.","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Next Generation Security, Blockchain","Comprehensive Tier N Visibility, Monitoring and Remedy  enables monitoring and the ability to remedy a supplier issue because of the visibility of all suppliers in the network.
"
Procurement,Digitizing Procurement & Partnerships,Generative Supplier Relationship Management,Intelligent Supplier Lifecycle ,Procurement teams must manually aggregate data or use partially developed SRM systems to view the entire supply base and understand their lifecycle within the enterprise.  Historical and non real time data does not provide an accurate picture nor provide enough views to understand the current and possible future state of suppliers,Completely automating  the current manual and semi automated supply base lifecycle will provide more intelligence on the suppliers and their importance to the business.,"Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Next Generation Security","Automated real time views of the entire supply base from supplier onboarding, to current, previous and upcoming workloads to at risk suppliers to retired or not in current use suppliers will help procurement to manage it's supply base continuously.  Up to date current information that can be modeled for future requirements will help procurement be more proactive in making better and more intelligent decisions.
"
Procurement,Digitizing Procurement & Partnerships,Generative Supplier Relationship Management,Smart Financing,"Current systems roll up data at a particular point in time and often involve manual data compilation from many systems that are both internal and external to the enterprise such as Letter of Credit, Inco Terms, P-Card, ACH, Check, and Supply Chain Financing.  The current financing models are only lightly automated, causing manual intervention 
","A real time or near real time view of financing of the supply base will allow  all types of financed orders to be viewed, monitored, paid and understood automatically and in real time for all suppliers.","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, RPA, Next Generation Security, Blockchain","Automated in real time the smart financing aspects for each supplier in terms of Supply Chain Financing, Letters of Credit. Inco Terms, P-Card, ACH, Checks and Cash.
"
Procurement,Digitizing Procurement & Partnerships,Cognitive Risk & Quality Management ,Continuous Risk Management & Remedy,"Organizations monitor purchased items, services and suppliers at points in time.  As issues arise they are informed and then must action a resolution.  Time is wasted, employees have fire drills to remedy including expediting, new orders and then notifying customers of issues and changes in orders.  ",Monitoring items and suppliers in real time for issues that can be resolved before they hurt the business improves supplier performance and customer satisfaction ,"Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Next Generation Security, Blockchain","Continuous real time monitoring of the purchased items and services from all suppliers will reduce fraud, surface issues for remediation as they occur and ultimately improve the business' performance."
Procurement,Digitizing Procurement & Partnerships,Cognitive Risk & Quality Management ,Real Time Digital Dashboard & Metrics,"Organizations monitor suppliers with point in time historical performance information.. These are disparate and must be understood together, manually integrated, viewed and waste time and money.  ",Monitoring suppliers in real time on a continuous basis using internal and external data will eliminate the need for manual historical information views.  ,"Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Next Generation Security","Real time digital dashboards and metrics that take into account internal and external data feeds,  allows the business to see all performance KPIS for suppliers, helping the enterprise understand their supply base.  It also allows the business to start to project future performance; enabling improved supplier relationships and supplier source selection."
Procurement,Digitizing Procurement & Partnerships,Cognitive Risk & Quality Management ,Universal Trade Automation,"Regulatory compliance is a manual data aggregation comparison effort.  It is done with data that is historical and also done country by country causing issues across a business.  Non compliance, missed regulations and updates can be missed, putting the organization at risk for large fines. ",Automated real time regulatory data that provides queries and advice on regulations so organizations are compliant at all times.  ,"Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Next Generation Security","Universal trade automation is real time, automated and able to provide guidance and advice on what needs to be done to be compliant to regulations country to country.  Organizations can now be current, understand where they may be at risk of non compliance and take immediate action to remedy the situation.  "
Procurement,Digitizing Procurement & Partnerships,Iterative Innovation (Product & Process) ,Procurement Innovation/Crowd Sourcing,"Procurement tends to lag other functions in innovation activities and crowd sourcing.  Innovation opportunities such as RFX functionality  have been adopted sporadically (more indirect rather than direct), while the opportunities for 'crowd-sourcing' of procurement has been mostly ignored. This has brought forward the fact that procurement is  missing out on alternatives, or even better, sources of supply, particularly during periods of supply constraint or disruption.",Procurement innovation/crowd sourcing improves both the awareness and the ability to connect to alternative sources of supply and innovation opportunities. This better supports efficiency and innovation goals.,"Enterprise Hardware, Personal devices, Cloud/Platforms, Big data/analytics, Mobile, Applications, Connectivity Services, ","Procurement innovation/crowd-sourcing opens up the procurement options and opportunities for both direct and indirect procurement. The use of procurement innovation and crowd sourcing makes it far easier for procurement professionals to identify alternative sources of supply - some cheaper, some faster ..... some just better."
Procurement,Digitizing Procurement & Partnerships,Iterative Innovation (Product & Process) ,Digital Product Innovation  ,"Procurement, indeed the entire supply chain, should be a key partner in the business innovation process - yet often they are not. While many companies operate a gate-based innovation funnel, it is usually manual or excel based and key participants are often uninformed which leads to delays, excessive launch costs or the inability to 'fast fail'.","This  improves the efficiency of the overall innovation process by using a more integrated, digital innovation process tool.","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, 3D Printing","Digital product innovation means digitalizing the process of moving a 'product' from Ideation to launch with full organizational involvement and key stakeholder input in real-time. The ability to comprehensively manage innovation in real-time means fewer delays, less cost and the ability to iteratively advance more promising ideas while also killing unpromising ones.
"
Procurement,Digitizing Procurement & Partnerships,Iterative Innovation (Product & Process) ,Digital ECNs,"Change order processes and specification management are highly problematic areas for the business and the role of procurement. These are typical managed inconsistently, often manually, and fail to meet the organizational needs for speed and cost. ",The goal here is to automate the product enhancement process so that the requirements for  procurement are clear and timely.,"Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, 3D Printing","A digital, automated repository of product enhancements and changes - single version of the truth - enables constituents on the business to have a common and timely view. Procurement is thus tied into the typical Change Order process (ECNs) and specification management in a way that enables optimal efficiency both in terms of cost and of speed."
Procurement,Digitizing Procurement & Partnerships,Intelligent Cost  Optimization ,Automated Product Cost Optimization ,"Procurement has always been a bottom-line motivated function, yet the tools to do proper cost evaluation and optimization are often lacking. Efforts to apply activity-based costing proved to be too time consuming, so averages and standards remain. This means that individual decisions may not be ideal; or specific selections optimize a part of the product cost at the expense of the whole.","Automated product cost optimization provides procurement with the objective, timely and relevant tools they need to make informed and 'total system' product cost (direct procurement) decisions.","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Blockchain","Automated product cost optimization is an automated tool that monitors cost reductions of ECNs, innovation tradeoffs (Make vs. Buy) as well as all costs that make up COGS - materials, logistics, carrying, and fulfillment.  It also addresses network/regional differences while also enabling true optimization on all inputs and offering a forecast of future spending.  "
Procurement,Digitizing Procurement & Partnerships,Intelligent Cost  Optimization ,Real-time Invoice Match and Discounts,"Currently, invoice matching (whether receivables or payables) is a mostly manual process with varying degrees of effectiveness. The cost of investigation has also led most companies to write-off amounts less the $500. Visibility has historically been poor. ","Visibility into invoices, invoice discounts, invoice deductions and invoice matching means reconciliation can happen quickly and automatically, freeing humans up to doing more value added tasks.","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, RPA, Blockchain","Quite simply an automated tool that matches invoices and takes discounts  and deductions as appropriate. This is a rote task best done by automation and relieves people to do more strategic, value add work while also potentially providing costs savings, improved productivity levels and accuracy (fewer errors)."
Procurement,Digitizing Procurement & Partnerships,Intelligent Cost  Optimization ,Intelligent Operational Efficiency Capture,"For any function or business process, collecting, capturing and disseminating information is a daunting challenge. In some cases different areas of the business do not communicate well with each other (particularly true in global organizations), in other cases efficiencies may go underappreciated. Either way, the ability to learn from good practices remains inconsistent.",Intelligent operational efficiencies capture automates the capture of efficiencies both in terms of making sure they are 'counted' as well as making sure that the learnings are disseminated across the breadth of procurement.,"Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Blockchain","Intelligent operational efficiencies capture is the ability to understand both tactical and operational procurement process efficiencies through the use of digital technologies to identify, record and disseminate learnings in real time. Efficient and effectiveness are reasonable outcomes."
Procurement,Digitizing Procurement & Partnerships,Intelligent Cost  Optimization ,Intelligent Rebate & Discount Capture,"Rebates are currently calculated based on historical shipments and receipts and the reconciled at the end of each quarter.  Discounts are flagged by systems and manually taken.  Record keeping is tedious, manual and consistently reconciled by multiple enterprise personal adding time and expense. ","Intelligent rebates and discount captures automatically in real time and on a continuous basis, rebates for all purchases linked to a rebate program and discounts offered from suppliers.","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Blockchain","P-cards and discounts are intelligently captured in real time, with continuous reconciliation between the buying enterprise and suppliers.   Organizations know the exact rebate and discount amounts and apply to the correct contracts, purchase orders and invoices. 
 "
Procurement,Digitizing Procurement & Partnerships,Intelligent Cost  Optimization ,Automated Non-Product Cost Optimization ,"Procurement has always been a bottom-line motivated process, yet the tools to do proper cost evaluation and optimization remain lacking. Efforts to apply activity-based costing proved to be too time consuming, so averages and standards remain. This means that individual decisions may not be ideal; or specific selections optimize a part of the non-product cost at the expense of the whole.","Provide  procurement with the objective, timely and relevant tools they need to make informed and 'total system' non-product cost (indirect procurement) decisions.","Cloud, advanced analytics,blockchain are all enablers here.","Automated non-product cost optimization is an automated tool that monitors cost reductions of ECNs, innovation tradeoffs (Make vs. Buy) as well as all costs that make up indirect. Would also address network/regional differences. The tool would enable true optimization on all inputs and offer a forecast of future spending.  "
Procurement,Digitizing Procurement & Partnerships,Intelligent Contracts,Automated Enabled Source to Contract to Signature,"The mechanics of the procurement contracting process are cumbersome and manually intensive; often resulting in delays or even lost/non-executed paperwork. This can mean delays, cost increases, or loss of available supply.",Automating the contracting process means far less likelihood of administrative delays or 'dropping the ball' and a more predictable and reliable process.,"Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Blockchain","Automation of the full contract authoring to negotiation to signature process means a more consistent and reliable process of executing contracts. This would also include  certificate of insurance/compliance. It would automate the collection of information, in real time, and even enable auto-contracting in authorized instances. Cost and speed are enhanced."
Procurement,Digitizing Procurement & Partnerships,Intelligent Contracts,Automated Enabled Call-offs to SLA and Contract,"As enterprises have become global (both in terms of customers and suppliers) the necessity of driving efficiency through global contracts has become de rigeur. The requirements of these contracts, however, can become burdensome in the sense that contracted quantities may not be fully met - either because the volumes targets were off or because non-sanctioned, alternative supply was used. Either way, penalty fees may ensue.","Automated call offs and SLA processes identify authorized suppliers and prevents 'rogue' procurement. As supply is required, automated call-offs ensure that service-level-agreements are adhered to and contracts fulfilled.","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive, Blockchain","A digitally-enabled contract manager enables automated call offs to the required supply contract obligations ensuring that the proper suppliers are used and that service-level agreements are met. This impacts Inventory, orders, contract renewals and even sunset clauses, and optimizes cost and avoids unnecessary penalty fees."
Procurement,Digitizing Procurement & Partnerships,Intelligent Procurement & Supply Planning,"Intelligent Inventory, Planning & Routing","Most procurement inventory, planning and routing processes are disconnected and not integrated into a broad pan-supply chain view that includes service levels and optimal sourcing points. This creates inefficiency, often with negative implications for factory performance and eventual OTIF.",Intelligent inventory planning and routing aims to fully integrate the procurement functions into the planning and execution elements of the supply chain so that 'smart' decisions can be made in real time for sourcing locations and options.,"Enterprise Hardware, Personal devices, Cloud, Big data, predictive/prescriptive analytics, Mobile, Applications, Connectivity Services, Cognitive, Blockchain","The intelligent optimization for inventory, planning and routing from either localized or remote sources, enables cost-effective and proactive processes.  In addition the optimization  for inputs required for the factory  and identifies the ideal routing of items and  quantities to the point of consumption.  This means better factory utilization and improvement in OTIF."
Procurement,Digitizing Procurement & Partnerships,Intelligent Procurement & Supply Planning,Digital Ecosystem VMI,"Traditional Vendor-Managed Inventory (VMI) processes have been manually intensive, with VMI 'planners' tasked with identifying current inventory levels at customer sites, overlaid with the best available demand plans to develop an appropriate fulfillment schedule. The manual nature of this process makes it quite cumbersome and often imprecise - leading many to abandon the effort.","Digital Ecosystem VMI is envisioned as a next-generation form of VMI where modern visibility and AI driven decision-making replaces the old, manual process. VMI  removes unnecessary limitations and flaws, driving up value and drives down administrative cost.","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive","This use case means dynamic visibility into inventory consumption and capacity utilization at customer/replenishment sites with automated reordering and fulfillment based on the most recent iteration of consumer demand. This means a more efficient VMI process, with more accurate and timely replenishment shipments to ensure higher levels of in-stock and optimal levels of inventory."
Procurement,Digitizing Procurement & Partnerships,Intelligent Procurement & Supply Planning,Digital Procurement Assistant,"Procurement is largely still a manual effort. Digital data sources are used but many decisions made by procurement professionals are based on experience, instinct, and gut feel when calculating the balance between supply and demand. While this has generally worked for many companies, it is far from ideal, certainly not optimized and rarely done in real time.","A digital procurement assistant augments the human procurement professional by automating rote tasks and ensuring that they are done quickly and in a timely fashion. Relieving the procurement professional from these repetitive tasks allows them to focus on much more strategic, value-added tasks.","Enterprise Hardware, Personal devices, Cloud, Big data/analytics, Mobile, Applications, Connectivity Services, Cognitive","The digital procurement assistant enables automated ordering from suppliers, auctions, or supply base/catalogues; makes informed tradeoff decisions between various sources of supply (such as a supplier with inventory vs. others for exception management based on % of ability to fulfill ) all in real-time and as a complement to the employee. "
