Industry,Mission,MissionDescription,Strategic Priorities,Programs,Use Case,Current Situation,Goals and Objectives ,Technology Deployed,Use Case Summary
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Connected Assets,Smart Asset Management,Digital Corrosion Management,Pipes and other assets are manually inspected using schedules derived from historical failure modes.  Manually intensive and increases risk of unpredicted behaviors and events.,Real-time performance data is combined with external data sources to predict failures in pipes and other assets.  Reduces physical inspections costs and increases system performance.,"Pipe and asset sensors, communications networks,  cloud, analytics, and machine learning",Use predictive models to manage corrosion inspections and reduce physical inspections
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Connected Assets,Smart Asset Management,Augmented maintenance,"Most assisted maintenance involves documented work instructions, but little is directly integrated into maintenance technician tooling.","The objectives are lower time and cost to repair, longer mean time between failure (MTBF) and higher first-time fix (FTF) rates, and lower factory downtime.","AR/VR, cognitive, IoT, and mobile",The use of augmented and virtual reality provides maintenance technicians with relevant information and guided work instructions.
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Connected Customer,Reliability as a Service,Closed Loop Outage Management,"As outages occur, control room engineers must recognize, isolate, and diagnose the issues.  They then must dispatch crews to address issues.  This can take hours to sort through data and coordinate crews.","Grid assets, crew dispatch, and customer service are all interconnected and the OMS can automatically diagnose and dispatch crew without human intervention.  This can save hundreds of hours a year in downtime.  Improves customer service scores","Smart meters, smart grid components, grid analytics, customer information systems, GIS, cloud, social, and cognitive",Reduce human involvement in diagnosing and responding to outages
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Connected Customer,Reliability as a Service,DER as Reliability,DERs are owned by customers and the utility has little control or visibility into its operation.  It is a large capital expense for the customer to install and a significant operating expense.,Utility-run DER that can be used to augment the grid for reliability and power quality.  Customer only pays a tariff based on needed quality and reliability.  Saves customers significant capital expenditures and provides an ancillary generating source to help manage the grid.  Improves customer service scores,"Smart meters, smart grid components, grid analytics, customer information systems, GIS, social, and cognitive",Utility takes over DER operation as a service for delivering reliability and power quality
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Connected Customer,360 Degree  Customer Management,Personalized marketing,Manufacturers and retailers independently create consumer segment profiles and do very little coordination in bringing consumers through their product purchase and use 'journey'.,"The objectives are higher conversion rates of prospective buyers, higher revenue, and higher levels of customer satisfaction and greater customer loyalty.","Industry cloud, cognitive, social, and mobile","A consumer activity repository (CAR) can be shared by BOVC manufacturers and retailers. There will also be the ability to determine and deliver the next best action for the sales process regardless of the point of interaction (store commerce website, manufacturer website)."
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Connected Customer,360 Degree  Customer Management,Customer Transparency,Siloed customer loyalty or customer management capabilities provide a limited view into customer context and individualized needs.,"Improve customer experience, engagement and lifetime value with a 360 omnichannel view of customer and engagement tools. ","360 Omnichannel CRM, AI, analytics, loyalty apps, social media",Providing a 360 omnichannel view of customer that enables better engagement and experience through the customer journey and in the stream of life.
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Connected Customer,360 Degree  Customer Management,Device-based energy programs,Utility has almost no visibility to customer devices on the customer-side of the meter.  The utility is limited in how it can help customers analyze usage or provide programs for specific devices.,"Provide customers detailed breakdowns of individual device energy performance.  It also provides the utility the ability to execute energy efficiency programs at the device level at the customer.  Improves energy efficiency, demand response, and power quality.4","Smart meters, smart grid components, grid analytics, customer information systems, GIS, cloud, social, and cognitive",Use connected devices to help customer manage their own efficiency
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Connected Customer,360 Degree  Customer Management,Orchestrated Demand Response,Utility demand response programs are limited to what their customers are willing to do.  It can be difficult to predict the response to a demand response program during peak loads.,To use the customers smart thermostats to manage individual customer loads under a program.  This provides a predictable load reduction that can be used as a DER.,"Smart meters, smart grid components, grid analytics, customer information systems, GIS, cloud, social, and cognitive",Use customer devices to provide demand response capabilies to utility
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Connected Customer,360 Degree  Customer Management,Revenue Protection,Fraud and leakage are detected through long-term and slow analysis at billing cycles.,Use real-time data to detect leaks and fraud almost immediately.  Increase public safety and improve revenue collection.,"Smart Meters, cloud, GIS, mobile, social, analytics, customer information systems, cognitive",Use of rapid data analytics And meter data to detect anomalies in service
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Connected Customer,Public Safety,Revenue Protection,"Leak detection is mostly manual today, unless the leak is large enough to cause immediate operational loss of flow.",Smart meters and sensors allow immediate detection of even small leaks that can automatically detected.  Customer information and GIS can narrow leaks and fraus to individual meters.,"Cloud, mobile, social, analytics, GIS, cognitive, communication",Automatic detection and reporting of all leaks and automatic dispatch of crews.
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Connected Customer,Public Safety,Service Safety Alerts,"Safety alerts are still largely done through reverse 911.  Some limited SMS and email is available, but must be manually initiated","Safety alerts are automatically generated to SMS, social media, and  connect car systems.  Effected areas can be immediately notified and first responders dispatched.  Estimated time-to-repair can be part of the message.","Cloud, mobile, social, analytics, GIS, cognitive, communication","Immediate notification through multiple channels to the public of any leaks, including time-to-repair notification."
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Connected Customer,Public Safety,Water Quality,"Manual water sample collection to test for turbidity, Ph, pollutants, metals and temperature is a time-consuming, and non-comprehensive undertaking.","Smart water quality systems gather data from multiple sources including the watershed, treatment plants, and testing equipment. Real-time visualization and modelling tools provide a nuanced understanding of pollution and water quality issues and impact. ","IoT, Big Data Analytics, Dashboards, Public Alerting, Data Visualization, GIS modelling, Smart Meters","Smart water quality solutions measure and track water quality throughout the urban water infrastructure preventing contamination, containing hazards, providing real-time information to residents, complying with regulations, and contributing positively to environmental sustainability."
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Next Gen Safety,Enhanced Personal Safety,Connected Safety Wear,Very manual process to ensure workers are wearing all safety equipment and clothing for specific tasks.  Includes multiple inspections and documentation.  Enhanced risk that a critical piece of equipment won't be carried.,Automatically ensure that all safety equipment is worn and worn properly.,"Cloud, analytics, cognitive, and social. Sensors, communications",Use of sensors to ensure workers are wearing all necessary safety equipment for the right jobs
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Next Gen Safety,Enhanced Personal Safety,Virtual Muster,Current muster procedures are heavily dependent on repetitive training and radio comms.,Will allow safety coordinators to immediately know location and status of workers.,"Cloud, analytics, cognitive, and social. Sensors, communications",Workers wear locators and sensors so that safety and emergency staff immediately know location and status of workers
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Next Gen Safety,Process Safety,Process Condition Monitoring,Static baseline against which an process or group of assets is measured for approaching an unsafe condition,Monitoring of asset and process against  dynamic benchmarks to improve safety monitoring and reduce inspections,"In process sensors, communications networks,  cloud, analytics, and machine learning",Monitoring the real-time condition of a process and applying analytics to determine needed inspection
Utility,Energy as a Service,"Any part of the utility value chain will be able to safely deliver retail, generation, or distribution that satisfies customers consumption needs.  This includes managing the transmission grid, commodity market, support for distributed energy, renewable resources, and regulatory demands.",Next Gen Safety,Process Safety,Process Self-inspection,Static baseline against which an process or group of assets is measured for approaching an unsafe condition,"Asset and process use analytics, modeling, and cognitive capabilities to determine safe operation in the future","In process sensors, communications networks,  cloud, analytics, and machine learning",Using available sensor data to predict safety incidents and acting autonomously to intervene in the process
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Upstream,Production Management,Real-time Hydrocarbon Production Management,Oil and gas operations needs continuous monitoring and management of flow and volumes to produce optimal levels of hydrocarbons and real-time field data helps to predict failures and  downtime and also flag potential events and problems .,"Continuously monitor and manage processes  and field devices  in real-time to  optimize performance, reporting, and cash flow.","Analytics framework(platform)  equipment, devices, sensors, smart assets, networks,  and cloud to feed analytical tools as well as AI",Use real-time field inputs to predict problems and events before they occur and is also used for optimization as well
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Upstream,Production Management, Production Allocations ,"Hydrocarbon accounting is done in the field and calculating accurate allocations down to the well level is a problem.  Spreadsheets, varying processes, and integration of siloed data slows the reporting process.","Accurate allocations data goes straight into dashboards to visually monitor, understand and manage the production performance  and the status of the budget for each well","Allocations software with  Hydrocarbon Accounting, field data capture (FDC), cloud, analytics","Production data is integrated in master data format (MDM) and  aligned with allocations software, accounting,  and field data "
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Upstream, Operations Optimization,Real-time Drilling  Optimization,Drilling is still very human-related although extraction uses remote control of large machines to extract various types of materials from the earth.  What is becoming digitally transformed is the process as multiple kinds of tests and treatments are being deployed,"Improve the  handoff between exploration and drilling.  Rigs, resources and supplies and activities are scheduled, permits acquired, and expectations, maps and other information about the reservoir ready before drilling even begins.  Need to monitor drilling to prevent events and optimize drilling process ","process workflow, real-time drilling applications, analytics, cognitive",Optimize the hand off between exploration and extraction through data management and sensor data visibility.
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Upstream, Operations Optimization,Integrated Production Operations ,Oil field operations is currently managed using spreadsheets or systems that have become silos of data that should be integrated for a wider and deeper perspective about the oil field,"An integrated production environment  is needed to add land, economics and other applications to present a holistic view of all of the  functions of the production ecosystem to understand and predict well behavior and associated activities like the impact on reservoir economics and land for example.","Application integration; field data capture, drilling, production,  networks, analytical tools,  data management, cognitive, cloud","Unification of all lease, finance, field, and performance data for a unified view of field and asset performance"
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Upstream, Operations Optimization,Automated Field Tickets ,"Wasted time waiting for, reviewing, and approving field tickets which has a dramatic impact on slowing cash flow",Digitizing the process with electronic documents to  improve the time and resources spent on a paper field ticket and invoice process. Also improves accuracy and error-proofs business processes.,"Workflow software, cognitive, data management, analytics",The process of moving field tickets through the company process for approvals to improve cash flow and on time delivery of services.
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Upstream, Operations Optimization,Drone and Robotic Inspections,"Companies are moving from tethered underwater submersibles to self-propelled, intelligent underwater robotics to work offshore oil rigs.  Drones are being deployed to inspect pipelines and other facilities and communications, control and ""intelligence"" is rapidly being deployed","Autonomous drones and underwater submersibles do continuous inspection of oil fields, rigs and equipment to identify infrastructure problems and for security purposes as well.  Ideally, robotics and drones will become an integral part of the ""data is everywhere"" and networks and systems will include data from all of these devices to feed analytics for upstream optimization, compliance and safety","Analytics, cognitive, communications, sensors, ","Autonomous drones and robots used for continuous inspection of rigs, wells, and other assets."
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Upstream,Exploration,Predictive Lease Management,"Companies might have hundreds of leases to manage and with low oil prices several leases may be better served by allowing them to expire, and it is critical to select the leases that best meet the company's capabilities and has the most potential for return",Using data from multiple internal and external sources to manage lease portfolio weighted on expected production performance,"Analytics, data management, workflow, cognitive, mobile, social",Manage leases and other property based on predicted production performance and return on expected investment
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Upstream,Exploration,Downhole Intelligence,Wasted time and energy with entry of duplicate information on invoices.,Autonomous downhole assemblies direct themselves based on performance and geophysical analysis.,"Drones, infrared sensors, analytics,  communications networks, cloud",Autonomous downhole assemblies direct themselves based on performance and geophysical analysis.
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Upstream,Exploration,Virtual Geophysics,"Wasted time and energy on reconciling, identifying, and following up with exceptions.",Simulation of geophysics and location parameters to optimize exploration resources.  Uses multiple external resources.,"Data management, reservoir modeling and simulation, communications, collaboration, analytics, cognitive",Create virtual teams and collaboration to connect geoscientists and other professionals together to optimize how people work together with machines and software.  Leverage analytics where applicable as well
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Upstream,Exploration,Drone-based exploration,Limited visibility and high cost  for engineers and executives to access field data for spend analysis and  decision making,Drones will provide both controlled and autonomous ability to explore remote locations and self-direct its path.,"Drones, infrared sensors, analytics,  communications networks, cloud, mobile",Drones will provide both controlled and autonomous ability to explore remote locations and self-direct its path.
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Refining,Smart Operations Management,Digital Blending,Blending planning is done offline and requires specific knowledge and personnel.  Requires planning and tight control.,Blending is done in real-time to maximize yields and minimize input from scarce technical resources.  Uses simulation and modeling of product and processes.,"Analytics, sensors, cognitive, mobile, cloud, HPC",Real-time blending to maximize yields and Gross Refining Margin
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Refining,Smart Operations Management, Digital Twin,Simulation of assets generally done in isolated to the asset and without good fidelity to system engineering concepts. Typically lacks real-time production asset inputs.,"Integrated simulation of a system of assets that show impact of changes to overall system, but at the asset level.  Provides the ability to test changes and reduce downtime and risk.","Cloud (HPC), analytics AR/VR and cognitive, sensors, communications.",Simulation of overall system operations at the asset level.
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Refining,Smart Operations Management,Global trade automation/ regulated communities,Some automation exists for regulatory compliance and financial processing but is not tightly integrated.,"The objectives are a reduction in declaration penalties, improved time through markets, accurate/timely settlement, lower transaction costs, and more efficient dispute resolution.","Blockchain, industry cloud, mobile, and IoT",Integration of  distributed ledger-based settlement for energy commodities as Industry cloud capabilities evolve to enabling energy trading 'communities'.
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Refining,Quality,Predictive Quality,Yields are difficult to predict and rigid incoming quality parameters are used to maintain output control.,"Predictive capabilities allow real-time adjustments to account for varying incoming materials, thus increasing flexibility in production","Cloud, BDA, cognitive, and social",There will be informed analysis of potential failures through simulation and historical performance. 
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Digital Refining,Quality,Cognitive Root Cause,Independent tools to do root cause analysis of defect data.  Not integrated to in line quality management systems.,"Better error proofing lowers overall cost of adverse quality, particularly repeat errors.","Cognitive, IoT, and BDA",Connected quality metrology feeds an analytic model that can support automated six sigma analysis of quality anomalies with the ability to adjust processes in an automated way.
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Connected Assets,Smart Assets,Equipment Health Communication,"Some early examples of automated notifications of potential issues or performance data, but very rudimentary.",Reduced outages and improved asset performance which will tie directly to customer service scores.,"Mobile, cloud, BDA, gamification, and social.",Automated notifications of equipment performance   Ability to integrate to other processes such as scheduling service. 
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Connected Assets,Smart Assets,Self-healing assets,Any asset issue requires immediate human intervention.  That intervention can be slow and sometimes misguided.  Companies  spend a lot of money rolling crews to wrong locations and not getting to the right location until after an outage.,"Assets that can self-diagnose not only themselves, but other assets within their system visibility.  These systems can then reroute, shed load, or shut down to avoid cascading failures.  This increases uptime and reduces the cost of prematurely failing assets.","Sensors, smart assets, networks, analytical tools,  data management, cognitive, cloud","Assets monitor themselves and their peers and react to reroute, shed load, or shut down to minimize outage and asset damage"
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Connected Assets,Smart Assets,Asset instrumentation,"Some  assets have condition reporting through sensors, but centralized data management is focused on historians.",Higher levels of asset availability results in less asset downtime and lower capital appropriation spending.,"IoT, BDA, and advanced networking",Real-time awareness of the asset condition will occur through dense deployment of wireless and wired sensors.
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Connected Assets,Smart Asset Management,Asset Performance Management,Assets are monitored and inspected on a set schedule based on  limited performance information compared to historical data.  This leads to operations being at risk from unintended events and poor historical data,"Use not only asset data, but external data, like weather, OEM data, benchmarking performance data, etc. as an analytical foundation for predicting asset life and maintenance heeds.","Sensors, smart assets, networks, analytical tools,  data management, cognitive, cloud",Use analytics to predict asset failure to reduce outages and inspections
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Connected Assets,Smart Asset Management,Failure Modes and Effects Analysis (FMEA) Automation,FMEA is a best practice process that is not implemented consistently.  There are gaps and inconsistencies in the ability of systems engineering's use of FMEA,Higher levels of asset effectiveness responses to outages.,"Cloud, analytics, cognitive, and social.",Informed analysis of potential failures through simulation and historical performance.  
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Connected Assets,Smart Asset Management,Digital Inspection,Pipes and other assets are manually inspected using schedules derived from historical failure modes.  Manually intensive and increases risk of unpredicted behaviors and events.,Real-time performance data is combined with external data sources to predict failures in pipes and other assets.  Reduces physical inspections costs and increases system performance.,"Pipe and asset sensors, communications networks,  cloud, analytics, and machine learning",Use predictive models to manage corrosion inspections and reduce physical inspections
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Connected Assets,Smart Asset Management,Augmented Maintenance,Most assisted maintenance involves documented work instructions but little is directly integrated into maintenance technician tooling.,Lower time and cost to repair.  Longer mean time between failure (MTBF) and higher first time fix (FTF) rates.  Improved outage and customer service.,"AR/VR, cognitive, IoT, and mobile.",Use of augmented and virtual reality to provide  technicians with relevant information and guided work instructions.
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Next Gen Safety,Enhanced Personal Safety,Connected Safety Wear,Very manual process to ensure workers are wearing all safety equipment and clothing for specific tasks.  Includes multiple inspections and documentation.  Enhanced risk that a critical piece of equipment won't be carried.,Automatically ensure that all safety equipment is worn and worn properly.,"Cloud, analytics, cognitive, and social. Sensors, communications",Use of sensors to ensure workers are wearing all necessary safety equipment for the right jobs
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Next Gen Safety,Enhanced Personal Safety,Virtual Muster,Current muster procedures are heavily dependent on respective training and radio commas.,Will allow safety coordinators to immediately know location and status of workers.,"Cloud, analytics, cognitive, and social. Sensors, communications",Workers wear locators and sensors so that safety and emergency staff immediately know location and status of workers
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Next Gen Safety,Process Safety,Process Condition Monitoring,Static baseline against which an process or group of assets is measured for approaching an unsafe condition,Monitoring of asset and process against  dynamic benchmarks to improve safety monitoring and reduce inspections,"In process sensors, communications networks,  cloud, analytics, and machine learning",Monitoring the real-time condition of a process and applying analytics to determine needed inspection
Oil & Gas,Agile Energy,"Exploration, transportation, and production of oil & gas products in an environment of price and regulatory instability.",Next Gen Safety,Process Safety,Process Self-inspection,Static baseline against which an process or group of assets is measured for approaching an unsafe condition,"Asset and process use analytics, modeling, and cognitive capabilities to determine safe operation in the future","In process sensors, communications networks,  cloud, analytics, and machine learning",Using available sensor data to predict safety incidents and acting autonomously to intervene in the process
Retail,Experiential Retail,no value,Omnichannel Commerce,Seamless & Frictionless Commerce,Omnichannel Commerce System,"Current systems aspire to supporting multichannel commerce: supporting the customer journey in multiple channels: physical, online, catalog, mobile.","Orchestrate sales and service channels (mobile-first, e-commerce, omni-channel, in-store) for optimal customer paths to purchase, sales, and service","Omni-commerce (stores, e- and m, social, voice, chat, one-click etc.)","Enable seamless omni-channel commerce throughout the consumer journey and in the stream of life (search, discovery, buy and fullfill, and service) "
Retail,Experiential Retail,no value,Omnichannel Commerce,Seamless & Frictionless Commerce,Frictionless Content Realization,"Retailers making efforts to deliver digital experiences to customers via large-form digital screens, and mobile devices such as smartphones, tablets, laptops, and in-store staff devices. ","Digital - physical convergence mediums proliferate, and content is curated efficiently and effectively to harmonize and deliver seamless experiences everywhere","tablets, mobile devices, digital screens, virtual reality, augmented reality, content management and distribution","Improve return on content investment by streamlining content curation and distribution, aligning with the mission to increase customer lifetime value throughout the customer journey and stream of life"
Retail,Experiential Retail,no value,Omnichannel Commerce,Seamless & Frictionless Commerce,Connected Buy and Pay Points,"Buy and Pay points are disconnected, making for a linear buy-and-pay process that has latencies, unnecessary friction points, and does not leverage the connected social and mobile technologies that the consumer uses during the customer journey.","Purchase and fulfillment process that is fast, easy and convenient, and leverages connected customer journey points via social, chat, visual and voice technologies, while offering speed of purchase, convenience, multiple delivery options, and explicit,  easy-to-manage return policies.","Omnichannel cart / order, digital payments, social networking, media, IoT and voice enabled bots, chatbots, and one-click buttons",Provide mechanisms to buy and pay anywhere conveniently and securely throughout the customer journey and in the stream of life
Retail,Experiential Retail,no value,Omnichannel Commerce,Seamless & Frictionless Commerce,Augmented product search,"Great product search and SEO is possible online, but does not carry into physical spaces well, and certainly doesn't leverage the numerous consumer touch points.","Digitally - physically converged product search optimization that is augmented by advanced and cognitive analytics, and internet of things, and informed with personalized and contextualized customer insights and preferences.","SEO for all interactions, AI, Virtual reality (VR), Augmented Reality (AR), IoT, Voice",Provide mechanisms to find goods that meet personalized and contextualized consumer needs throughout the customer journey and in the stream of life
Retail,Experiential Retail,no value,Omnichannel Commerce,Intelligent fulfillment,Omnichannel Order Orchestration & Fulfillment,"Separate and sequential capture, management, and fulfillment workflows for store-bound and direct-to-consumer orders primarily optimized for delivery cost from enterprise points of supply unconstrained by store-labor capacity governed by rules-based systems operating on latent inventory and shipment status data. Logistics fulfillment capacity assigned after order capture. Sequential single-tier replenishment planning misaligns inventory with demand.","Fast and efficient capture, management, and fulfillment of all store-bound and direct-to-customer orders in order to optimize fulfillment cost and capacity, inventory risk, and customer service, from enterprisewide and supply network inventory sources. Order capture signals multi-tier replenishment and secures capacity for downstream fulfilment activities. Orchestration of custom or build-to-order fulfillment envelops design, buy, and make workflows.","Cloud, industry cloud, IoT, prescriptive trade-off analytics, artificial intelligence, machine learning, block chain","Use real-time, context-aware analytics and curated network data to anticipate and balance direct-to-customer and store-bound order fulfillment to meet customer service level at lower total cost to serve."
Retail,Experiential Retail,no value,Omnichannel Commerce,Intelligent fulfillment,JIT Production,"Procurement and production planned and scheduled (""locked and loaded"") of finished goods based on low-quality demand forecasts with limited or costly flexibility without anticipating material and capacity needs leading to excessive lead times or missed ATP commitments. ","AI-enabled anticipatory order-, make-, ship-to-order fulfillment process that optimizes inventory commitment and obsolescence risk, shipping cost and capacity risks, and manufacturing cost risk to meet target on-time order fill rates utilizing base-load, postponed and just-in-time configuration, production, and additive manufacturing (network of 3D printing and advanced materials) that adapts to seasonal or product lifecycle swings in aggregate demand.","Cloud, industry cloud, IoT, prescriptive trade-off analytics, artificial intelligence, machine learning, block chain, 3D Printing, 3D Product Virtualization & Customization","Address the growing challenge of fulfilling demand for ""long-tail"" low-volume, high-volatility, often configurable products at lower cost to serve optimized customer service level targets. Also, enable customer driven customization of products in digital and physical properties."
Retail,Experiential Retail,no value,Omnichannel Commerce,Intelligent fulfillment,Real time Inventory Management,"Inventory status and condition data held in separate logistics, procurement, and merchandising systems with limited ability to commit inventory quickly in view of revenue potential and opportunity costs to meet store and direct-to-customer orders. ","Continuous anticipatory commitments of item- to pallet-level inventory based on real-time visibility of logical (e.g., safety stock), location, and physical status against orders and forecasts, visible to all ordering, supplying, and viewing channels, devices, and roles in support of optimal order fulfillment. ","Cloud, industry cloud, IoT, prescriptive trade-off analytics, artificial intelligence, machine learning, block chain, inventory management apps, mobile devices",Real time visibility to product inventory in physical and virtual stores / facilities enabled by IoT and collaborative supplier relationships. This improves omni-channel order orchestration and fulfillment service levels and return on inventory investment. 
Retail,Experiential Retail,no value,Omnichannel Commerce,Augmented and Virtual Experience,Virtual and Augmented Engagement,"VR and AR use for gamification is nascent and inconsistent, with only singular instances demonstrating traction and results. ","Deployment of responsive and flexible platforms that can accommodate the use of gamification, including AR (augmented reality) OR VR (virtual reality), to save the customer time and money while creating rich contextualized experiences that engage consumers in new and resonating ways.","AR/VR, multiple digital and mobile devices, IoT, mobile apps, loyalty apps",Use of AR/VR in gamification throughout the customer journey to enhance the customer experience throughout the customer journey.
Retail,Experiential Retail,no value,Omnichannel Commerce,Augmented and Virtual Experience,"Connected Digital Experiences (Smart Rooms, Shelves, Mirrors) ","Connected interactions in limited deployments and in various forms. ESL's are fully deployed in some retailers. Smart shelves, fitting rooms, advanced video and AR / VR primarily in pilots.","Enable customers to visualize different clothing and accessory choices, access product information, and communicate with sales associates and provides customers the option to initiate and complete the purchase from within the fitting room",Smart mirrors; AR/VR; in-store networking; Wi-Fi/LiFi; mobile consumer apps; omnichannel commerce; RFID,Smart fitting rooms that provide customers an interactive experience within the fitting room while enabling sales associates to better control the traffic of people and items into and out from fitting rooms.
Retail,Experiential Retail,no value,Omnichannel Commerce,Augmented and Virtual Experience,"Augmented & Virtual Product Search (fit, placement, info)","Visual Search use of AR/VR is early, in pilot and development by several retailers presaging acceleration for 2017-2020.","Search enhanced through augmented reality, allowing the customer to use an image of one product to search for and discover other objects that have a similar look, and provide details about an item from the items image, or to allow the customer to assess the item's fit or placement by manipulating the image of the  item.","AR/VR; mobile consumer apps, SEO, advanced image / content analytics, video, 3D virtualization, photo realistic rendering","Expand the customer's options for finding products, where image is more familiar or appropriate for search, and to provide a more immersive understanding of the product(s) use in the stream of life."
