UseCase,CurrentSituation,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,-,-,-,-,
Intelligent event management,Marches- protests- rallies- concerts- fairs- and other large events present challenges to local governments in terms of crowd management- emergency response- and public safety as populations swell in a city area beyond typical capacity- straining resources. Oftentimes- wireless and phone networks become overloaded and so those means of communication (text- voice- mobile alerts) are limited.,Drones,video cameras,mobile response units,big data analytics,digital signage,mobile apps,-,-,-,-,-,-,-,-,-,-,-,-,
Digital equity,Around the world- and within major urban areas- there are significant pockets of underserved populations that do not have access to the internet. As more and more services are provided digitally by governments- as more jobs require digital profiles and resumes- and as more learning happens online and via digital mediums- this lack of access restricts these groups of people from upward mobility.,Public WiFi,free WiFi hotspot,municipal broadband,fiber-to-the-home initiatives that may be subsidized,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Next-gen nonemergency services,Cities began setting up nonemergency call centers to offload calls for services from emergency systems. These systems have developed to multimodal citizen engagement and operational tools for cities.,Call/contact centers,web self-service,social media,text services,mobile apps,work order systems,field workers' apps ,devices,-,-,-,-,-,-,-,-,-,-,
Omni-channel city portals,Many governments- several at the country level such as the United Kingdom- have worked to consolidate all government information into one website for information and transaction- linking users to multiple services without having to go to each department individually. While helpful- these websites often link to distinct separate departmental websites and most lack a clear and easy user experience for navigation.,Cloud services,content management applications,data management,publishing software,enterprise portals,online payment systems,-,-,-,-,-,-,-,-,-,-,-,-,
Open data,Government organizations have massive amounts of information stored in a multitude of systems- databases- and spreadsheets with more data being created and collected every day- from paper forms to connected devices to crowdsourced information. There has been pressure on governments- and in particular- local government- to be more transparent with their residents- and therefore- more accountable. Thus arose the open data movement- a key aspect of the government digital transformation that was unfolding in Smart Cities.,Metadata-driven platform for developing applications that tie together capabilities such as team collaboration,content ,document management,enterprise search,business intelligence,workflow ,business process management,-,-,-,-,-,-,-,-,-,-,-,
Smart parking,Stadiums are important attractions in many cities- drawing large crowds and providing business to many local businesses. Many stadiums are supported by the city with tax incentives and other deals that make it important for a city to get a return on the investment with a better attendee experience. Parking is a key aspect of the attendee experience- as well as managing traffic impact on the community. Smart parking guides attendees to spots to ease traffic- enable better pedestrian traffic- and provide a revenue source.,Sensors,radar,mobile phones ,devices,mobile apps,digital signage,connected vehicles,analytics,-,-,-,-,-,-,-,-,-,-,
Smart concessions,Stadiums are important attractions in many cities- drawing large crowds and providing business to many local businesses. Many stadiums are supported by the city with tax incentives and other deals that make it important for a city to get a return on the investment with a better attendee experience. A key revenue source for stadiums are concessions sales from food- drinks- and clothing and other fan novelties.,Broadband wireless connectivity,Bluetooth beacons,digital displays ,kiosks,mobile apps,social media,cloud computing,analytics,real-time operations center,-,-,-,-,-,-,-,-,-,
Smart City platforms,Cities have multiple platforms for various functions- but little that offers a citywide view into operations- or one that brings together data from disparate sources- especially from sensors and other devices- for analysis and subsequent recommendations for actions across multiple departments.,Sensors,edge devices,data analytics ,visualization software,networks,cloud computing,collaboration tools,business process rules,-,-,-,-,-,-,-,-,-,-,
Connected back office,Decades old systems of record- built in a pre-digital era- run many local government departments- using outdated business assumptions and models. These systems are brittle- cobbled together- and hard to retrofit- and given their outdated assumptions and design- they cannot support the requirements to transform the current labor force to take on redefined- digital information?centric roles. Connected back office replaces today's systems of record with new systems of intelligence- which retain the core capabilities while layering in new autonomic and predictive intelligence assets.,Machine learning,cloud computing,predictive analytics,process automation,new UX design with natural language processing,mobile-first design,-,-,-,-,-,-,-,-,-,-,-,-,
Digital legislating,While legislators and support staff heavily use digital libraries and mobile devices- the legislative process itself is largely paper based around the world.,Digital content such as legislative dockets,laws,legal policies ,procedures,analytics ,performance metrics of constituents' information,social media,networking ,device ,network security,digital document protection,-,-,-,-,-,-,-,
Data-driven urban planning,Leveraging big data- predictive models- and economic measures- land use planning can be improved- incorporating the movement patterns of urban dwellers and visitors- population distribution dynamics- and desires for economic growth and sustainability.,Mobile devices,mobile apps,GPS,big data analytics,cloud,digital twin technologies,predictive models,-,-,-,-,-,-,-,-,-,-,-,
"Digital permitting, licensing, and inspections",Digital permitting- inspections- and licensing improve the efficiency of core municipal functions by leveraging real-time information and in-field technologies. Submissions of requests and data are simplified- building inspectors in the field use special software on mobile devices where findings are instantly uploaded- and systems can readily call up historic data for a given location while at that location. Less paper is generated and entire processes are handled in a more effective way for both city agencies and residents and developers.,Mobile devices,mobile apps,GPS,payments systems,digitized ,geo-referenced historical data,-,-,-,-,-,-,-,-,-,-,-,-,
Digital twin,With the advent of a censored- connected city- the possibility of analyzing the process- information- and resources of an entire city- via a digital twin- is becoming a reality.,3D modeling ,design,sensors,video,analytics,GPS,collaboration platforms,open data platforms,simulation software,cloud computing,-,-,-,-,-,-,-,-,
Connected neighborhoods,City neighborhoods are currently less connected than they could be- missing opportunities to track and monitor relevant issues- share and trade goods and services- increase community safety- and so forth.,Data integration tools,collaborative tools,GPS-enabled interactive civic apps,location-specific social media platforms,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Reliability as a service,Distributed energy resources (DER) and microgrids are smaller power sources that can be aggregated to provide power necessary to meet regular demand. DERs are owned by customers (nonutility organizations) and the utility has little control or visibility into its operation. It is a large capital expense for the customer to install and a significant operating expense. All generation assets at customer sites are either on the grid or off of it. There is little availability to automatically have campus-type generation automatically access or isolate from/to the grid.,Smart meters,smart grid components,grid analytics,customer information systems,GIS,social,cognitive,smart grid components,controllers,SCADA,grid analytics,cloud.,-,-,-,-,-,-,
Data-driven social services,Social services organizations are frequently in reactive modes- coping with large caseloads per worker and dealing with crises well after a number of triggers and warning signs have arisen.,Predictive analytics ,mobile workforce tools (tablets,smart phones,social service?specific software),-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Connected field workers,Field workers in a number of subverticals (social services- healthcare- inspections- emergency management) often struggle with paper-based legacy systems ? case files- inspection reports- and so forth ? which wastes valuable time and effort.,Wearables,tablets,ruggedized tables,smart phones,augmented reality tools,location-based (GIS enabled) apps ,services,remote video,-,-,-,-,-,-,-,-,-,-,
Early warning systems,Cities- towns- communities- and regions are responding to a growing number of natural and human-made disasters (floods- fires- tsunamis- oil spills- terror attacks- etc.) with little preparation- mitigation- and advance notice- this leads to far greater instances of human loss- injury- and damage to infrastructure- property- and the environment.,IoT sensors,big data analytics solutions,mobile-enabled apps,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
IoT-enabled fire fighting,Fire fighters enter buildings or sites with incomplete or partial information about the types of materials- components- and chemicals involved in a given fire incident. While they wear protective clothing and gear to counteract this- understanding what chemicals and components are involved is instrumental to fire- police- and nearby residents- among others.,IoT sensors,analytics,robotics,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Next-gen emergency management,Today's 9-1-1 environment is limited to the transfer of voice calls and is lacking in value-added information like geospatial location- video- and images and unable to incorporate common personal communication tools like texting- social media- and image and video transfer. Text- for example- can be used in situations in which a victim needs to remain silent- such as a home invasion in progress. Sending an image or video of a tractor trailer roll-over can ensure first responders send the correct heavy equipment to save lives and clear the area quickly.,Cloud-based dispatch ,emergency response,advanced analytics,text,photo ,video analytics,mobile-enabled rich media transfer,-,-,-,-,-,-,-,-,-,-,-,
Real-time crime centers,"For most cities- responding and investigating crime is an overly manual- HR-intensive- nonautomated process that inefficiently connects the dots between various departments- resources- and/or jurisdictions. Time delays frequently lead to loss of life- unapprehended criminals- and the perpetuation of further crime as a result. A variety of ""real-time centers"" ? real-time intelligence centers (RTICs)- real-time operations centers (RTOCs)- and real-time crime centers (RTCCs) ? have emerged to manage timely information integration. While this is predominantly deployed in the midsize to larger municipalities- real-time centers are demonstrating quicker response times and better case resolution and outcomes.",Video analytics solutions,mobile-enabled situational awareness tools,visualization ,GIS tools,video walls,advanced analytics,recognition software (facial,license plate,palm,gait),cognitive,database,cloud,IoT solutions,-,-,-,-,
Officer wearables,Globally- there has been a movement to adopt video to monitor public safety incidents and to create transparency in law enforcement operations. In the United States- a number of high-profile instances of officer-involved shootings and the resulting social unrest has placed pressure on police departments to justify their actions and restore confidence in their professionalism. Beyond video- there are small pilots of other officer wearables- such as sensor holsters to automatically detect when a gun is drawn- sensors on guns themselves- and instrumented vests to track body temperature- heart rate- and other factors.,Body-worn video cameras (BWC),other wearable devices,cloud storage,traditional storage,digital evidence management solution,analytics,IoT,-,-,-,-,-,-,-,-,-,-,-,
Data sharing and interoperability,Digital evidence management- across multiple agencies and jurisdictions- is imperative to public safety and to crime prevention and mitigation- but such sharing is hindered by culture- operational protocols- privacy concerns- and cost.,Cloud,advanced/predictive analytics,videoconferencing,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Visual surveillance and analysis,Cities and states are managing an exceptionally diverse and growing inventory of video information sources- including municipal and commercial CCTV feeds- home surveillance systems- traffic management videos- in-car and body-worn video in law enforcement- and citizen video sources. With this comes a rapid increase in the aggregate amount of video data. State and local governments are turning to video analytics solutions to cope with the volume of information and data at their disposal.,Video analytics solution,advanced analytics,recognition software (facial,license plate,palm,gait),cloud,mobile,-,-,-,-,-,-,-,-,-,-,
Nonrevenue water (NRW) management,"Nonrevenue water refers to water that has been produced but is ""lost"" before reaching the consumer- either through leaks or water that is unaccounted for because of metering inaccuracies. Currently- NRW management process is mostly reactive. It is estimated that in the United States alone- reducing NRW losses by half would generate $2.9 billion and provide water to an additional 90 million residents.",Solution components include IoT sensors,wireless,big data analytics,processor capacity,memory,communication network module(s),device management software,meter data management software,-,-,-,-,-,-,-,-,-,-,
Water quality monitoring,Manual water sample collection to test for turbidity- Ph- pollutants- metals- and temperature is a time-consuming and non-comprehensive undertaking.,IoT,big data analytics,dashboards,public alerting,data visualization,GIS modelling,smart meters,-,-,-,-,-,-,-,-,-,-,-,
Environmental monitoring,Cities want to protect critical infrastructure and areas that have dense populations in an event of sabotage- acts of terror- natural disasters- as well as on a daily basis with the advent of unsafe air particulates- pollution- and so forth. Weather and environmental sensors can provide information for use in population health and emergency services- monitoring air quality- water levels- weather patterns- and so forth.,Sensors to detect chemical or biological agents,weather monitoring systems,cloud computing,wireless communications,analytics,monitoring systems,-,-,-,-,-,-,-,-,-,-,-,-,
Smart outdoor lighting,Currently- cities spend significant amounts on the electricity for outdoor lights on streets- parks- and so forth. These lights require frequent repair and monitoring- as they last one to two years- so there is also considerable operational costs to manage. Cities are converting to light-emitting diodes (LEDs) for cost and energy savings.,LED lights,wireless networks,cloud-based monitoring platforms,mobile devices for field workers,sensor packs ,other devices,like video that uses light infrastructure (power,elevation,ubiquity),-,-,-,-,-,-,-,-,-,
Smart trash collection,Currently- cities have little insight into the state of their public trash bins- which can often get filled to overflowing and create an unpleasant experience for the public. Trash bins are emptied on set schedules regardless of need and often require multiple shifts of workers to manage thousands of bins.,Solar-powered batteries,wireless technologies,pressure ,temperature sensors,cloud-based platform for route planning ,scheduling,analytics,-,-,-,-,-,-,-,-,-,-,-,
Smart indoor lighting,Many government buildings strive to reduce the costs of operations- and electricity is a key cost. To reduce spending- as well as meet green energy targets and sustainability targets- municipalities are looking to smart building technologies. Replacing lights with light-emitting diode (LED) or implementing sensor-based lights is the easiest retrofit.,LED lights,wireless networks,cloud-based monitoring platforms,building management systems,analytics tools,-,-,-,-,-,-,-,-,-,-,-,-,-,
Autonomous vehicles,Currently- this technology is being piloted by various entities- no 100% successful tests yet of fully autonomous driving.,Autonomous cars with V2X ,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Vehicle to everything (V2X) connectivity,There is ongoing development in connecting vehicles wirelessly to other vehicles- wayside infrastructure- and cloud-based services.,Mobile,cloud,IoT integration with other smart devices like smart traffic signals or emergency dispatching systems,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Advanced public transit,Newer technologies include the provision of real-time arrival data of buses or trains for waiting passengers as well as such data provided to and by websites and mobile apps- integration of transit data for passengers with other modal information- better onboard experience to include WiFi- improved safety systems- mobile payment systems- improved fleet and operations management- and better data to make more informed route and service decisions by transit agencies.,Mobile apps,GPS,WiFi,cloud,analytics,autonomous vehicles after being a proven technology,after regulatory approval for transit applications,-,-,-,-,-,-,-,-,-,-,-,
Smart parking,Smart parking systems- for both on-street and garage parking- have been implemented in select neighborhoods in cities. Most cities do not have citywide implementations of systems that detect and guide drivers to vacant spaces- assist with violations tracking- and allow mobile payments.,Sensors,radar,mobile phones/devices,mobile apps,analytics,connected vehicles,digital signage,-,-,-,-,-,-,-,-,-,-,-,
Smart journey planning,Drivers are already advised of best routes ? in static or predicted conditions ? for the best routing between locations- using algorithms and existing GPS services. Community-based information sharing- such as via the app Waze- alerts other drivers on the road about real-time traffic and road conditions- allowing drivers to change their routing as necessary if possible.,Mobile phones,mobile apps,GPS,connected vehicles,connected digital signage,analytics,WiFi/Bluetooth,mobile,-,-,-,-,-,-,-,-,-,-,
Multimodal transit hubs,Transit hubs are multimodal centers for passengers across different transport services (bus- long-distance bus- rail- taxi- car share- bicycle- etc.) and integrate real-time information such as arrival time and amenities such as restrooms- food- WiFi- and shelter. Fare media and payment systems could also be included.,Mobile apps,GPS,WiFi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Intelligent traffic management,Congestion in cities is worsening. Building new highway lanes generally leads to even more traffic- not less congestion. Smart signaling can help the flow of traffic- remotely or via sensors- allowing a signal sequence to be altered to alleviate congestion at a location. Data from drivers plus cameras and sensors can feed into a traffic management center (local government) or other service (like Waze or Google) to process and return data to drivers in real time to operate their route accordingly to bypass or minimize traffic congestion.,Cameras,speed sensors,other sensors (e.g.,weather,traction),analytics,mobile phones,mobile apps,GPS,connected vehicles,-,-,-,-,-,-,-,-,
Ride hailing/ride sharing,Ride-hailing services such as Lyft or Uber are growing in popularity worldwide- providing a mobility option similar to mass transit-like services that were previously nonexistent- particularly with door-to-door services. Ride sharing between individuals is also possible- enabled by GPS technology and apps.,Mobile apps,mobile payments,routing analysis,GPS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Microgrids,All generation assets at customer sites are either on the grid or off of it.  There is little availability to automatically have campus-type generation automatically access or isolate from/to the grid.,Smart grid components,controllers,SCADA,grid analytics,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,
Distributed Energy Management,DERs like solar and wind are intermittent sources and the grid has to account for their performance in real-time.  It creates a situation where environmental issues can significantly impact the power available to the grid.,DMS,SCADA,Smart Inverters,grid analytics,cognitive,cloud,-,-,-,-,-,-,-,-,-,-,-,-,
Virtual Power Plant,Distributed energy sources are acted on as individual sources on the grid for planning- forecasting- and operation.,DMS,DERMS,SCADA,grid analytics,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,
Global trade automation/ regulated communities,Some automation exists for regulatory compliance and financial processing but is not tightly integrated.,Blockchain,industry cloud,mobile,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Predictive Power Control,The grid is managed through power flow and the effect that load and source have on the grid based on day-ahead planning and worst case demand scenarios.,DERMS,Smart Grid components,grid analytics,cognitive,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,
Intelligent Grid Management,Distribution subsystems are isolated from each other and increase the risk of daisy chaining failures from feeder to feeder.,DERMS,Smart Grid components,grid analytics,cognitive,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,
Digital Grid Simulation,Modeling and simulating the grid performance is done in isolation and at a very high level.  Simulations are based on historical data with little scenario capability.,Sensors,smart assets,networks,analytical tools,data management,cognitive,cloud,-,-,-,-,-,-,-,-,-,-,-,
Self-healing assets,Any asset issue requires immediate human intervention.  That intervention can be slow and sometimes misguided.  Utilities spend a lot of money rolling crews to wrong locations and not getting to the right location until after an outage.,Sensors,smart assets,networks,analytical tools,data management,cognitive,cloud,-,-,-,-,-,-,-,-,-,-,-,
Asset instrumentation,Some  assets have condition reporting through sensors- but centralized data management is focused on historians.,IoT,BDA,advanced networking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Equipment Health Communication,Some early examples of automated notifications of potential issues or performance data- but very rudimentary.,Mobile,cloud,BDA,gamification,social,-,-,-,-,-,-,-,-,-,-,-,-,-,
Asset Performance Management,Assets are monitored and inspected on a set schedule based on  limited performance information compared to historical data.  This leads to operations being at risk from unintended events and poor historical data,Sensors,smart assets,networks,analytical tools,data management,cognitive,cloud,-,-,-,-,-,-,-,-,-,-,-,
Failure Modes and Effects Analysis (FMEA) Automation,FMEA is a best practice process that is not implemented consistently.  There are gaps and inconsistencies in the ability of systems engineering's use of FMEA,Cloud,analytics,cognitive,social,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Drone-based Line Inspection,Transmissions lines in remote areas are inspected through field crews and helicopters putting eyes on lines.  Because of cost and risk- it can only be done yearly or longer.,Drones,infrared sensors,analytics,communications networks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Predictive Underground Line Service,Utilities have little capability to analyze ground conditions and the impact on underground service.  Failure is the typical alarm mode.,GIS,geophysics service,ground ,water sensors,communications networks,-,-,-,-,-,-,-,-,-,-,-,-,-,
Digital Corrosion Management,Pipes and other assets are manually inspected using schedules derived from historical failure modes.  Manually intensive and increases risk of unpredicted behaviors and events.,Pipe ,asset sensors,communications networks,cloud,analytics,machine learning,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented maintenance,Most assisted maintenance involves documented work instructions- but little is directly integrated into maintenance technician tooling.,AR/VR,cognitive,IoT,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Closed Loop Outage Management,As outages occur- control room engineers must recognize- isolate- and diagnose the issues.  They then must dispatch crews to address issues.  This can take hours to sort through data and coordinate crews.,Smart meters,smart grid components,grid analytics,customer information systems,GIS,cloud,social,cognitive,-,-,-,-,-,-,-,-,-,-,
DER as Reliability,DERs are owned by customers and the utility has little control or visibility into its operation.  It is a large capital expense for the customer to install and a significant operating expense.,Smart meters,smart grid components,grid analytics,customer information systems,GIS,social,cognitive,-,-,-,-,-,-,-,-,-,-,-,
Personalized marketing,Manufacturers and retailers independently create consumer segment profiles and do very little coordination in bringing consumers through their product purchase and use 'journey'.,Industry cloud,cognitive,social,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Customer Transparency,Siloed customer loyalty or customer management capabilities provide a limited view into customer context and individualized needs.,360 Omnichannel CRM,AI,analytics,loyalty apps,social media,-,-,-,-,-,-,-,-,-,-,-,-,-,
Device-based energy programs,Utility has almost no visibility to customer devices on the customer-side of the meter.  The utility is limited in how it can help customers analyze usage or provide programs for specific devices.,Smart meters,smart grid components,grid analytics,customer information systems,GIS,cloud,social,cognitive,-,-,-,-,-,-,-,-,-,-,
Orchestrated Demand Response,Utility demand response programs are limited to what their customers are willing to do.  It can be difficult to predict the response to a demand response program during peak loads.,Smart meters,smart grid components,grid analytics,customer information systems,GIS,cloud,social,cognitive,-,-,-,-,-,-,-,-,-,-,
Revenue Protection,Fraud and leakage are detected through long-term and slow analysis at billing cycles.,Smart Meters,cloud,GIS,mobile,social,analytics,customer information systems,cognitive,-,-,-,-,-,-,-,-,-,-,
Revenue Protection,Leak detection is mostly manual today- unless the leak is large enough to cause immediate operational loss of flow.,Cloud,mobile,social,analytics,GIS,cognitive,communication,-,-,-,-,-,-,-,-,-,-,-,
Service Safety Alerts,Safety alerts are still largely done through reverse 911.  Some limited SMS and email is available- but must be manually initiated,Cloud,mobile,social,analytics,GIS,cognitive,communication,-,-,-,-,-,-,-,-,-,-,-,
Water Quality,Manual water sample collection to test for turbidity- Ph- pollutants- metals and temperature is a time-consuming- and non-comprehensive undertaking.,IoT,Big Data Analytics,Dashboards,Public Alerting,Data Visualization,GIS modelling,Smart Meters,-,-,-,-,-,-,-,-,-,-,-,
Connected Safety Wear,Very manual process to ensure workers are wearing all safety equipment and clothing for specific tasks.  Includes multiple inspections and documentation.  Enhanced risk that a critical piece of equipment won't be carried.,Cloud,analytics,cognitive,social,Sensors,communications,-,-,-,-,-,-,-,-,-,-,-,-,
Virtual Muster,Current muster procedures are heavily dependent on repetitive training and radio comms.,Cloud,analytics,cognitive,social,Sensors,communications,-,-,-,-,-,-,-,-,-,-,-,-,
Process Condition Monitoring,Static baseline against which an process or group of assets is measured for approaching an unsafe condition,In process sensors,communications networks,cloud,analytics,machine learning,-,-,-,-,-,-,-,-,-,-,-,-,-,
Process Self-inspection,Static baseline against which an process or group of assets is measured for approaching an unsafe condition,In process sensors,communications networks,cloud,analytics,machine learning,-,-,-,-,-,-,-,-,-,-,-,-,-,
Real-time Hydrocarbon Production Management,Oil and gas operations needs continuous monitoring and management of flow and volumes to produce optimal levels of hydrocarbons and real-time field data helps to predict failures and  downtime and also flag potential events and problems .,Analytics framework(platform)  equipment,devices,sensors,smart assets,networks,-,cloud to feed analytical tools as well as AI,-,-,-,-,-,-,-,-,-,-,-,
 Production Allocations ,Hydrocarbon accounting is done in the field and calculating accurate allocations down to the well level is a problem.  Spreadsheets- varying processes- and integration of siloed data slows the reporting process.,Allocations software with  Hydrocarbon Accounting,field data capture (FDC),cloud,analytics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Real-time Drilling  Optimization,Drilling is still very human-related although extraction uses remote control of large machines to extract various types of materials from the earth.  What is becoming digitally transformed is the process as multiple kinds of tests and treatments are being deployed,process workflow,real-time drilling applications,analytics,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Integrated Production Operations ,Oil field operations is currently managed using spreadsheets or systems that have become silos of data that should be integrated for a wider and deeper perspective about the oil field,Application integration,field data capture,drilling,production,networks,analytical tools,data management,cognitive,cloud,-,-,-,-,-,-,-,-,-,
Automated Field Tickets ,Wasted time waiting for- reviewing- and approving field tickets which has a dramatic impact on slowing cash flow,Workflow software,cognitive,data management,analytics,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Drone and Robotic Inspections,"Companies are moving from tethered underwater submersibles to self-propelled- intelligent underwater robotics to work offshore oil rigs.  Drones are being deployed to inspect pipelines and other facilities and communications- control and ""intelligence"" is rapidly being deployed",Analytics,cognitive,communications,sensors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Predictive Lease Management,Companies might have hundreds of leases to manage and with low oil prices several leases may be better served by allowing them to expire- and it is critical to select the leases that best meet the company's capabilities and has the most potential for return,Analytics,data management,workflow,cognitive,mobile,social,-,-,-,-,-,-,-,-,-,-,-,-,
Downhole Intelligence,Wasted time and energy with entry of duplicate information on invoices.,Drones,infrared sensors,analytics,communications networks,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,
Virtual Geophysics,Wasted time and energy on reconciling- identifying- and following up with exceptions.,Data management,reservoir modeling ,simulation,communications,collaboration,analytics,cognitive,-,-,-,-,-,-,-,-,-,-,-,
Drone-based exploration,Limited visibility and high cost  for engineers and executives to access field data for spend analysis and  decision making,Drones,infrared sensors,analytics,communications networks,cloud,mobile,-,-,-,-,-,-,-,-,-,-,-,-,
Digital Blending,Blending planning is done offline and requires specific knowledge and personnel.  Requires planning and tight control.,Analytics,sensors,cognitive,mobile,cloud,HPC,-,-,-,-,-,-,-,-,-,-,-,-,
 Digital Twin,Simulation of assets generally done in isolated to the asset and without good fidelity to system engineering concepts. Typically lacks real-time production asset inputs.,Cloud (HPC),analytics AR/VR ,cognitive,sensors,communications.,-,-,-,-,-,-,-,-,-,-,-,-,-,
Global trade automation/ regulated communities,Some automation exists for regulatory compliance and financial processing but is not tightly integrated.,Blockchain,industry cloud,mobile,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Predictive Quality,Yields are difficult to predict and rigid incoming quality parameters are used to maintain output control.,Cloud,BDA,cognitive,social,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cognitive Root Cause,Independent tools to do root cause analysis of defect data.  Not integrated to in line quality management systems.,Cognitive,IoT,BDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Equipment Health Communication,Some early examples of automated notifications of potential issues or performance data- but very rudimentary.,Mobile,cloud,BDA,gamification,social,-,-,-,-,-,-,-,-,-,-,-,-,-,
Self-healing assets,Any asset issue requires immediate human intervention.  That intervention can be slow and sometimes misguided.  Companies  spend a lot of money rolling crews to wrong locations and not getting to the right location until after an outage.,Sensors,smart assets,networks,analytical tools,data management,cognitive,cloud,-,-,-,-,-,-,-,-,-,-,-,
Asset instrumentation,Some  assets have condition reporting through sensors- but centralized data management is focused on historians.,IoT,BDA,advanced networking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Asset Performance Management,Assets are monitored and inspected on a set schedule based on  limited performance information compared to historical data.  This leads to operations being at risk from unintended events and poor historical data,Sensors,smart assets,networks,analytical tools,data management,cognitive,cloud,-,-,-,-,-,-,-,-,-,-,-,
Failure Modes and Effects Analysis (FMEA) Automation,FMEA is a best practice process that is not implemented consistently.  There are gaps and inconsistencies in the ability of systems engineering's use of FMEA,Cloud,analytics,cognitive,social,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Digital Inspection,Pipes and other assets are manually inspected using schedules derived from historical failure modes.  Manually intensive and increases risk of unpredicted behaviors and events.,Pipe ,asset sensors,communications networks,cloud,analytics,machine learning,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented Maintenance,Most assisted maintenance involves documented work instructions but little is directly integrated into maintenance technician tooling.,AR/VR,cognitive,IoT,mobile.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Connected Safety Wear,Very manual process to ensure workers are wearing all safety equipment and clothing for specific tasks.  Includes multiple inspections and documentation.  Enhanced risk that a critical piece of equipment won't be carried.,Cloud,analytics,cognitive,social,Sensors,communications,-,-,-,-,-,-,-,-,-,-,-,-,
Virtual Muster,Current muster procedures are heavily dependent on respective training and radio commas.,Cloud,analytics,cognitive,social,Sensors,communications,-,-,-,-,-,-,-,-,-,-,-,-,
Process Condition Monitoring,Static baseline against which an process or group of assets is measured for approaching an unsafe condition,In process sensors,communications networks,cloud,analytics,machine learning,-,-,-,-,-,-,-,-,-,-,-,-,-,
Process Self-inspection,Static baseline against which an process or group of assets is measured for approaching an unsafe condition,In process sensors,communications networks,cloud,analytics,machine learning,-,-,-,-,-,-,-,-,-,-,-,-,-,
Omnichannel Commerce System,Current systems aspire to supporting multichannel commerce: supporting the customer journey in multiple channels: physical- online- catalog- mobile.,Omni-commerce (stores,e- ,m,social,voice,chat,one-click etc.),-,-,-,-,-,-,-,-,-,-,-,
Frictionless Content Realization,Retailers making efforts to deliver digital experiences to customers via large-form digital screens- and mobile devices such as smartphones- tablets- laptops- and in-store staff devices. ,tablets,mobile devices,digital screens,virtual reality,augmented reality,content management ,distribution,-,-,-,-,-,-,-,-,-,-,-,
Connected Buy and Pay Points,Buy and Pay points are disconnected- making for a linear buy-and-pay process that has latencies- unnecessary friction points- and does not leverage the connected social and mobile technologies that the consumer uses during the customer journey.,Omnichannel cart /order,digital payments,social networking,media,IoT ,voice enabled bots,chatbots,one-click buttons,-,-,-,-,-,-,-,-,-,-,
Augmented product search,Great product search and SEO is possible online- but does not carry into physical spaces well- and certainly doesn't leverage the numerous consumer touch points.,SEO for all interactions,AI,Virtual reality (VR),Augmented Reality (AR),IoT,Voice,-,-,-,-,-,-,-,-,-,-,-,-,
Omnichannel Order Orchestration & Fulfillment,Separate and sequential capture- management- and fulfillment workflows for store-bound and direct-to-consumer orders primarily optimized for delivery cost from enterprise points of supply unconstrained by store-labor capacity governed by rules-based systems operating on latent inventory and shipment status data. Logistics fulfillment capacity assigned after order capture. Sequential single-tier replenishment planning misaligns inventory with demand.,Cloud,industry cloud,IoT,prescriptive trade-off analytics,artificial intelligence,machine learning,block chain,-,-,-,-,-,-,-,-,-,-,-,
